uid,title,shortTitle,category,lane,sub,start,endKnown,endInferred,href,source,firstSeenAt,lastSeenAt,lastScrapedAt,status
215544bc0943dabb,2026: Copenhagen,2026: Copenhagen,Pokémon GO Fest,theme,Theme Main,,2026-06-14T16:00:00,,https://leekduck.com/events/pokemon-go-fest-2026-copenhagen,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:45Z,active
0790235a7e0539b5,Dynamax Roggenrola during Max Monday,Max Roggenrola,Max Mondays,weekly,Max Mondays,2026-06-15T06:00:00,,2026-06-15T21:00:00,https://leekduck.com/events/max-mondays-2026-06-15,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:01Z,active
b96a1779ec68ede3,Master League: Mega Edition and Sunshine Cup: Great League Edition | Forever Forward,Master League: Mega Edition and Sunshine Cup: Great League Edition | Forever Forward,GO Battle League,gbl,GO Battle League,2026-06-16T20:00:00Z,2026-06-23T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_master-league-mega-edition_sunshine-cup-great-league-edition,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:48Z,active
a0c9f4336ad1cf86,Necrozma in 5-star Raid Battles,Necrozma,Raid Battles,raids,5-Star Raid Battles,2026-06-17T00:00:00,2026-06-23T00:00:00,,https://leekduck.com/events/necrozma-in-5-star-raid-battles-june-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:02Z,active
cfb5f7e9a8a11480,Mega Scizor in Mega Raids,Mega Scizor,Raid Battles,raids,Mega Raid Battles,2026-06-17T06:00:00,2026-06-24T06:00:00,,https://leekduck.com/events/mega-scizor-in-mega-raids-june-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:02Z,active
be9b5b8276989843,Necrozma Raid Hour,Necrozma,Raid Hour,weekly,Raid Hour,2026-06-17T18:00:00,,2026-06-17T19:00:00,https://leekduck.com/events/raidhour20260617,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:02Z,active
4e56df671a6baa04,Frigibax Community Day,Frigibax Community Day,Community Day,community,Community Day,2026-06-20T14:00:00,,2026-06-20T17:00:00,https://leekduck.com/events/june-communityday2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:02Z,active
251541211140ad47,Dynamax Hoothoot during Max Monday,Max Hoothoot,Max Mondays,weekly,Max Mondays,2026-06-22T06:00:00,,2026-06-22T21:00:00,https://leekduck.com/events/max-mondays-2026-06-22,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:03Z,active
3e5bd4d95895340d,Flying Taxi 2026,Flying Taxi 2026,Event,theme,Theme Event A,2026-06-23T10:00:00,2026-06-29T20:00:00,,https://leekduck.com/events/flying-taxi-2026,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:21:03Z,active
c86ff0d4d9caa215,"Great League, Ultra League, and Master League | Forever Forward","Great League, Ultra League, and Master League | Forever Forward",GO Battle League,gbl,GO Battle League,2026-06-23T20:00:00Z,2026-06-30T20:00:00Z,,https://leekduck.com/events/gbl-forever-forward_great-league_ultra-league_master-league-split-1,leekduck,2026-05-29T06:21:07Z,2026-05-29T06:21:07Z,2026-05-29T06:20:50Z,active
