uid,title,shortTitle,category,lane,sub,start,endKnown,endInferred,href,timeZone,timeZoneLabel,isFixedTimeZone,source,firstSeenAt,lastSeenAt,lastScrapedAt,status
d77c29c68c75313e,Memories in Motion,Memories in Motion,Season,season,Season,2026-03-03T10:00:00,2026-06-02T10:00:00,,https://leekduck.com/events/season-22-memories-in-motion/,local,Local Time,,manual/leekduck,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,active
f62d3b5f7611e110,"Great League, Ultra League, and Master League | Memories in Motion","GL, UL, ML",GO Battle League,gbl,GO Battle League,2026-05-26T20:00:00Z,2026-06-02T20:00:00Z,,https://leekduck.com/events/gbl-memories-in-motion_great-league_ultra-league_master-league-split-4/,America/Los_Angeles,PT,1,manual/leekduck,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,active
78791981e928c535,Mega Medicham in Mega Raids,Mega Medicham,Raid Battles,raids,Mega Raid Battles,2026-05-27T06:00:00,2026-06-03T06:00:00,,https://leekduck.com/events/mega-medicham-in-mega-raids-may-june-2026/,local,Local Time,,manual/leekduck,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,active
fbc0008b1e56172b,GO Pass: June,GO Pass: June,GO Pass,go-pass,GO Pass,2026-06-02T10:00:00,2026-07-07T10:00:00,,https://leekduck.com/events/go-pass-june-2026/,local,Local Time,,manual/leekduck,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,active
8270a34537d5b36b,Pokémon GO Fest 2026: Global,GO Fest 2026: Global,Pokémon GO Fest,theme,Theme Main,2026-07-11T10:00:00,2026-07-12T19:00:00,,https://leekduck.com/events/pokemon-go-fest-2026-global/,local,Local Time,,manual/leekduck,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,2026-05-30T00:00:00Z,active
